No.,Size,Color,Clarity,Certification,Price
200,0.32,H,IF,IGI,1462
211,0.5,G,IF,IGI,3652
174,0.22,E,IF,IGI,1198
73,0.72,F,VS2,GIA,5263
255,0.7,H,VS2,HRD,4346
292,1,I,VS1,HRD,8095
239,0.56,F,VS2,HRD,3202
137,1.01,H,VS2,GIA,8873
151,1.1,H,VS2,GIA,9646
302,1.01,H,VS1,HRD,9153
125,1,G,VS1,GIA,9619
308,1.09,I,VVS2,HRD,9107
246,0.61,H,VVS2,HRD,3616
165,0.19,H,IF,IGI,758
31,0.41,F,VS1,GIA,1956
300,1.01,G,VS2,HRD,9293
263,0.8,F,VS1,HRD,6905
115,0.9,F,VS1,GIA,7680
136,1.01,H,VS1,GIA,9153
262,0.8,F,IF,HRD,8611
43,0.52,D,VS2,GIA,3490
185,0.26,F,VVS2,IGI,1260
260,0.73,G,VVS1,HRD,6041
208,0.41,I,VVS2,IGI,1506
155,0.18,G,IF,IGI,803
297,1.01,F,VVS1,HRD,11811
36,0.5,E,VS1,GIA,3501
48,0.53,F,VVS2,GIA,3701
298,1.01,F,VS1,HRD,10272
154,0.18,G,IF,IGI,803
5,0.31,D,VS1,GIA,1641
248,0.64,H,VVS2,HRD,3785
12,0.32,G,VS2,GIA,1202
81,0.5,E,VS1,GIA,3501
42,0.51,G,VS1,GIA,3205
122,1,F,VS1,GIA,10713
2,0.3,E,VS1,GIA,1510
238,0.56,F,VS1,HRD,3667
235,0.53,F,VVS1,HRD,3995
301,1.01,H,VVS2,HRD,9433
152,0.18,F,VVS1,IGI,823
237,0.55,G,VVS2,HRD,3529
26,0.36,H,VVS2,GIA,1485
166,0.2,D,VS1,IGI,880
20,0.34,H,VS2,GIA,1222
37,0.5,E,VS1,GIA,3501
102,0.73,H,VS1,GIA,5030
41,0.51,F,VVS2,GIA,3567
157,0.18,H,IF,IGI,725
275,0.85,F,VS2,HRD,6805
78,0.86,H,VVS2,GIA,6882
144,1.03,E,VS1,GIA,10900
97,0.71,H,VVS2,GIA,5193
17,0.34,G,VS1,GIA,1410
242,0.58,H,IF,HRD,3792
129,1,I,VS1,GIA,8095
241,0.57,H,VVS1,HRD,3415
254,0.7,G,VVS2,HRD,5510
89,0.7,E,VS1,GIA,5800
307,1.02,H,VS2,HRD,8959
163,0.19,G,IF,IGI,842
80,0.9,I,VVS2,GIA,6682
18,0.34,G,VS2,GIA,1269
119,1,E,VS2,GIA,9757
236,0.53,F,VVS2,HRD,3701
286,1,G,VS2,HRD,9203
273,0.82,G,VVS2,HRD,7072
77,0.85,F,VS2,GIA,6805
160,0.19,F,IF,IGI,967
234,0.52,H,VVS1,HRD,3130
142,1.02,F,VS2,GIA,9666
46,0.52,F,VS1,GIA,3418
70,0.71,F,VS1,GIA,5586
156,0.18,G,VVS2,IGI,705
56,0.56,F,VS1,GIA,3667
58,0.57,G,VVS2,GIA,3651
233,0.52,E,VS2,HRD,3346
284,1,G,VVS1,HRD,10450
228,1.01,H,VS2,IGI,8873
223,0.71,D,VS1,IGI,6160
50,0.53,G,VVS2,GIA,3407
305,1.02,F,VVS2,HRD,10796
141,1.02,F,VS1,GIA,10372
197,0.31,E,VVS2,IGI,1628
83,0.51,F,VVS1,GIA,3851
124,1,G,VVS2,GIA,9896
175,0.23,E,IF,IGI,1248
101,0.73,H,VS1,GIA,5030
51,0.54,E,VS1,GIA,3767
28,0.37,H,VS1,GIA,1420
47,0.53,D,VS1,GIA,3921
138,1.01,I,VVS1,GIA,8873
143,1.02,G,VVS2,GIA,10090
21,0.35,E,VS1,GIA,1738
217,0.56,G,VVS2,IGI,3470
52,0.54,F,VVS1,GIA,4066
243,0.6,G,VS1,HRD,3925
230,0.5,F,VVS1,HRD,3778
172,0.21,F,IF,IGI,1057
130,1,I,VS2,GIA,7818
212,0.51,E,VVS2,IGI,3722
306,1.06,H,VVS2,HRD,9890
287,1,H,VVS1,HRD,9480
25,0.36,F,VS1,GIA,1635
274,0.85,F,VVS1,HRD,8359
218,0.58,E,VVS1,IGI,4831
9,0.31,H,VS2,GIA,1126
8,0.31,G,VVS2,GIA,1427
69,0.71,F,VVS2,GIA,5881
184,0.26,F,VVS1,IGI,1365
107,0.75,D,VVS2,GIA,7368
117,1,D,VS1,GIA,11419
3,0.3,G,VVS1,GIA,1510
153,0.18,F,VVS2,IGI,765
259,0.73,F,VS2,HRD,5333
114,0.83,E,VS2,GIA,7156
202,0.34,F,VVS1,IGI,1773
121,1,F,VVS2,GIA,10588
192,0.3,E,VVS2,IGI,1580
95,0.71,D,VS1,GIA,6372
271,0.81,H,IF,HRD,7358
220,0.58,G,VVS1,IGI,3821
135,1.01,F,VS2,GIA,9573
110,0.76,D,IF,GIA,9885
264,0.8,G,VVS2,HRD,6905
178,0.24,H,IF,IGI,1108
61,0.62,E,VVS1,GIA,5845
186,0.26,I,IF,IGI,1121
276,0.85,G,VVS1,HRD,7711
76,0.84,H,VS2,GIA,5705
68,0.7,I,VS2,GIA,3861
63,0.64,G,VVS1,GIA,4759
167,0.2,G,IF,IGI,880
288,1,H,VS1,HRD,9065
224,0.76,F,VVS2,IGI,6095
126,1,G,VS2,GIA,9169
189,0.28,I,IF,IGI,1199
149,1.06,H,VS2,GIA,9302
232,0.51,F,VVS1,HRD,3851
93,0.7,G,VS1,GIA,5122
66,0.7,G,VS1,GIA,5122
193,0.3,F,VVS2,IGI,1459
82,0.5,G,VVS1,GIA,3432
268,0.81,E,VS2,HRD,6988
14,0.33,I,VS2,GIA,1098
150,1.07,I,VVS2,GIA,8945
140,1.01,I,VS2,GIA,7895
170,0.21,D,VS1,IGI,919
226,1,H,VVS2,IGI,9342
98,0.72,E,VS1,GIA,5961
109,0.75,I,VS1,GIA,4355
203,0.34,F,VVS2,IGI,1636
74,0.8,I,VVS2,GIA,5441
214,0.52,I,IF,IGI,3095
30,0.4,H,VS1,GIA,1525
183,0.26,F,IF,IGI,1539
265,0.8,H,VVS2,HRD,6416
145,1.04,F,VS1,GIA,10571
252,0.7,E,VVS2,HRD,6285
194,0.3,G,VVS1,IGI,1459
181,0.25,H,IF,IGI,1149
7,0.31,F,VS1,GIA,1427
244,0.6,G,VS2,HRD,3421
296,1.01,E,VS1,HRD,10692
177,0.23,G,IF,IGI,995
94,0.7,H,VVS2,GIA,5122
257,0.71,H,VVS2,HRD,5193
188,0.27,H,IF,IGI,1233
128,1,H,VS2,GIA,8788
33,0.45,I,VS1,GIA,1572
278,1,D,VVS2,HRD,13775
90,0.7,F,VVS1,GIA,6285
147,1.05,I,VVS2,GIA,8781
13,0.33,E,VS2,GIA,1327
290,1,I,VVS1,HRD,8788
164,0.19,G,VVS1,IGI,800
45,0.52,F,VVS2,GIA,3635
64,0.66,H,VVS1,GIA,4300
198,0.31,F,VVS1,IGI,1628
10,0.31,I,VS1,GIA,1126
146,1.04,I,IF,GIA,9563
229,1.01,I,VS1,IGI,8175
261,0.74,H,VVS1,HRD,5815
291,1,I,VVS2,HRD,8372
24,0.35,H,VS2,GIA,1255
182,0.25,I,IF,IGI,1082
59,0.59,G,VVS2,GIA,3773
247,0.62,I,VVS2,HRD,3615
99,0.72,H,VVS1,GIA,5662
85,0.56,E,VS1,GIA,3900
148,1.06,G,VS2,GIA,9743
91,0.7,F,VS2,GIA,5122
139,1.01,I,VVS2,GIA,8455
